11.14				"7,3"	"7,00"	x	x						7
2ème sous sol	?		Horreur		"6,00"	x	x			Dans un parking - pas mal mais pas très flippant	6
3 enteremments	Tommy Lee Jones		Drame	"7,6"	"8,75"	x	x			Road movie - très bon	9		9	xellent	"8,5"	"J'adore! Jveux le mater tous les soirs, ça fait chier Manu"	"8,5"
4 frères			Gangs		"7,00"	x	x			Très bon - quelques flaws - 4 frères adoptés qui se retrouvent	7
A vif					#DIV/0!	x	x
Anges & démons	Tom Hanks				"5,75"	x	x			Pas mal sans plus  - tiré par les cheveux - bons acteurs	"6,5"					J'ai zappé au bout de 30 min	5
Apocalypse 6 films			Doc		"9,00"	x	x			MUST SEE	9		9
"Arnaques, crimes et botanique"					"8,00"	x	x									Un de mes préférés du genre. Musique top. Réalisation excellente.	8
Autant en emporte le vent			Classic		"7,50"	x	x			Bon et long	8			il m a fallu 3 jours pour arriver au bout	7
Benjamin Button	Brad Pitt		Drame	8	"8,20"	x	x			Très bon mais long	"8,5"		8	tres cool	"8,1"
Big	Tom Hanks		Comedie	"7,2"	"7,25"	x	x			Comédie sympathique et drôle	"7,5"				7
Big Lebowski			Comedie	"8,2"	"8,33"	x	x			Top	"8,5"		8	tres bon	"8,5"
Blanche Neige	Disney		Anime	"7,8"	"7,83"	x	x			Classique	"7,5"		8	magique	8
Bourne Identity	Matt Damon		Action	"7,7"	"7,83"	x	x			Très bon	"7,5"			sympa	"7,5"	Excellent	"8,5"
Bourne supremacy	Matt Damon		Action	"7,6"	"7,83"	x	x			Mieux	8				"7,5"	Encore mieux	8
Bourne Ultimatum	Matt Damon		Action	"8,2"	"7,67"	x	x			Toujours aussi bon	8			bon ptit film	8	Le moins bien des trois mais tj aussi bon.	7
Brokeback Montain	Ledger - Gyllenhaal		drame	"7,8"	"8,83"	x	x			Tout bon	9	Très bon	9	tres bon film	"8,5"	Un film pour Goemaere
Brüno	Baron Cohen			"6,5"	"7,00"		x							dans la lignée de borat - bons fous rires	7
Burn after reading	"Clooney, Pitt"		comedie	"7,2"	"6,90"		x							"pas du grand ""frere Cohen"""	"6,8"	Sympa tout de même	7
Celle que j'aime	Darmon - Lavoine		comedie dramatique		"4,00"		x							mauvais	4
City of ember	Murray-Robbins		fantastique	"6,4"	"6,25"		x			Bien aimé mais réa aurait pu être mieux	7			bof	"5,5"
Coco	Gad Elmaleh		comedie		"2,00"	x	x							on est pas encore pret pour ce genre d'oeuvre!	2
Coco avant Chanel					#DIV/0!	x	x
Coraline			Anime		#DIV/0!	x	x
Dark Knight	Bale - Ledger		Superheros	"8,9"	"8,00"		x						8	le meilleur Batman	8	Bien sombre	8		http://www.imdb.com/title/tt0468569/
Dexter	2		série		"8,33"	x	x			Top top	9		8		8
Dexter 	1		série		"8,17"	x	x			Génial	"8,5"		8		8
